id,name,brand,price,cushion_level,stability,foot_type,usage,wide_fit,description,review_summary
nike_vomero_plus,Nike Vomero Plus,Nike,234000,medium,neutral,['neutral'],['daily_run'],False,"The Nike Vomero Plus is a high-performance running shoe that features a full-length ZoomX midsole, providing energetic bounce and outstanding shock absorption. Its cozy upper and durable construction make it suitable for recovery days and relaxed runs, although it is heavier than ideal and has a snug fit with a narrow toebox.","The Nike Vomero Plus excels in comfort and durability, making it a great choice for easy runs, despite its weight and fit issues."
hoka_bondi_9,Hoka Bondi 9,Hoka,308340,medium,neutral,['neutral'],['daily_run'],False,"The Bondi 9 arrived after a long wait, and we found Hoka prioritized consistency to maintain the v8’s winning formula. In our lab tests, we discovered it to be a better version in every way—lighter, more durable, and packed with improved cushioning. The new supercritical foam is definitely bouncier, while the upper materials provide a premium fit. However, its narrow toebox, oversized frame, and hefty build still limit its appeal for many runners.","{'pros': ['Endless cushioning', 'New supercritical EVA midsole', 'Amazing step-in comfort', 'Doubles as a walking shoe', 'Stable for its height', 'Built to last', 'Excels at slow-and-steady paces', 'Well-designed heel collar', 'Lighter than v8'], 'cons': ['Not for wide feet', 'Still feels heavy and clunky underfoot', 'Drop measurement differs from stated', 'Non-gusseted tongue']}"
adidas_adizero_evo_sl,Adidas Adizero EVO SL,Adidas,256950,medium,neutral,['neutral'],['daily_run'],False,"The Adidas Adizero EVO SL is a revolutionary running shoe that combines a 100% Lightstrike Pro midsole with a world-class Continental outsole. It is lightweight, well-cushioned, and designed for a variety of paces and distances, making it an excellent choice for runners. However, it has some drawbacks, including poor-quality laces, a short tongue, and concerns about toebox durability.","The Adidas Adizero EVO SL offers exceptional value and versatility, making it a strong contender in the running shoe market despite minor issues with laces and tongue design."
asics_novablast_5,ASICS Novablast 5,ASICS,257060,medium,neutral,['neutral'],['daily_run'],False,"The Novablast 5 takes ASICS’ best-seller to new heights—literally and figuratively. We found it lighter, softer, and bouncier, with improved flexibility and a more responsive feel underfoot. The price remains unchanged, offering excellent value with significant updates. While traction remains its weakest aspect, the ride is undeniably fun and surprisingly stable, making it a perfect choice for runners craving a blend of plush cushioning, versatility, and comfort.","{'pros': ['Improved energy return with FF Blast MAX foam', 'Plushiest foam in a Novablast yet', 'Keeps the same price as v4', 'Higher stack height for extra cushioning', 'Enhanced flexibility', 'Lighter than its predecessor', 'Best Novablast ever for wide feet', 'Exceptional weight-to-cushion balance', 'Works for short, medium and long runs'], 'cons': ['Breathability could be improved', 'Toebox durability']}"
nike_vomero_18,Nike Vomero 18,Nike,257060,medium,neutral,['neutral'],['daily_run'],False,"The Vomero 18 received a much-needed, full-scale overhaul to match today’s trend of max-cushioned trainers. It delivers more foam underfoot and step-in comfort than ever, paired with a rare price drop. However, it has packed on extra weight, become less flexible, and its grip still trails behind the competition.","{'pros': ['Amazing step-in feel', 'First max-stack Vomero', 'Price drop from v17!', 'Superb cushioning', 'Ideal for recovery runs', 'Ideal for heel strikers', 'Still quite stable despite its size', 'Comfortable upper'], 'cons': ['Needs to lose some weight', 'Narrow toebox', 'Lacks agility for faster paces', 'Grip could be better']}"
hoka_clifton_10,Hoka Clifton 10,Hoka,195000,medium,neutral,['neutral'],['daily_run'],False,"The Hoka Clifton 10 features a maximalist design with a raised stack height, a widened toebox for improved toe splay, and a comfortable upper. It offers a stable ride, particularly for heel strikers, making it suitable for long runs and daily activities. However, it has gained weight compared to its predecessor and utilizes outdated foam, resulting in a less lively feel. The heel collar design is Achilles-friendly, and traction has seen improvements, but the shoe's overall performance feels more akin to the Bondi model than the Clifton.","The Hoka Clifton 10 is a comfortable and stable running shoe ideal for heel strikers and long runs, but it suffers from weight gain and outdated foam, making it less lively than previous versions."
new_balance_fresh_foam_x_more_v6,New Balance Fresh Foam X More v6,New Balance,291330,medium,neutral,['neutral'],['daily_run'],False,"The Fresh Foam X More v6 continues New Balance’s formula of cloud-soft cushioning and a super-thick midsole offered at a fair price. It shines on recovery days and easy jogs, and can handle long runs if you don't push the pace. The fit is snug in standard width and the weight is heavier than preferred, but it offers a comfort-first ride with tons of foam underfoot.","{'pros': ['Record-breaking shock absorption', 'Wide platform ensures stability', 'Super-plush foam', 'Improved energy return', 'Cozy upper', 'No price hike this year', 'Ideal for forefoot strikers', 'Solid durability', 'Semi-gusseted tongue for secure lockdown', 'Good torsional flexibility despite its size'], 'cons': ['Narrow, low-volume interior fit', 'Still a heavy shoe', 'Weak airflow', ""Low drop doesn't work for everyone""]}"
nike_vomero_premium,Nike Vomero Premium,Nike,394160,medium,neutral,['neutral'],['daily_run'],False,"The Vomero Premium showcases Nike's commitment to innovation with its impressive stack height and ultra-plush ZoomX foam, providing exceptional cushioning. However, it feels bulky and slow, and while it boasts a unique aesthetic, it may not meet practical running needs.","Pros include record-breaking shock absorption, a cozy upper, and solid durability, while cons highlight lower energy return, limited versatility, and a high price tag."
brooks_glycerin_max,Brooks Glycerin Max,Brooks,342600,medium,neutral,['neutral'],['daily_run'],False,"The Glycerin Max is Brooks’ ambitious response to the rise of ultra-cushioned running shoes. It provides cloud-like comfort underfoot, protecting muscles and joints with its innovative DNA Tuned midsole. The plush, breathable upper offers a premium, glove-like fit, though this luxurious feel comes at a cost in terms of price and weight.","{'pros': ['Massive impact dampening', 'Luxurious yet breathable upper', 'New DNA Tuned midsole', 'Eye-catching look', 'Surprisingly stable', 'Can be used as a walking shoe', 'Premium materials'], 'cons': ['Too heavy', 'Midsole lacks bounce', 'Poor rubber coverage', 'High price tag']}"
nike_pegasus_41,Nike Pegasus 41,Nike,239920,medium,neutral,['neutral'],['daily_run'],False,"Nike's updates can be unpredictable, but we can confidently say that the Pegasus 41 is a standout. We were particularly impressed by its features for heel strikers, enhanced by the new plush foam and rockered sole. The shoe maintains its renowned durability too. And despite the $10 price increase, we believe it's justified and well worth it. At the end of the day, although it's been quite some time since 1982—I wasn't even born then!—the Pegasus series is still kicking, and for good reason.","{'pros': ['Enhanced for heel strikers', 'New ReactX foam!', 'Improved breathability', 'Plush upper', 'Good durability', 'Several stability enhancements', 'Newly designed rocker and bevel', 'Solid performance', 'Superior lockdown', 'Sustainable features'], 'cons': ['Price increased by $10', 'Worse than the v40 in cold temperatures', 'Poor grip']}"
new_balance_fresh_foam_x_more_v5,New Balance Fresh Foam X More v5,New Balance,201500,medium,neutral,['neutral'],['daily_run'],False,"The New Balance Fresh Foam X More v5 has an endless name matched by its endless cushioning, finally making it a true maximalist running shoe. We were impressed by its eye-popping design that not only accommodates its size but also enhances stability despite its ultra-plush midsole. We also liked its comfortable upper during our runs. On the downside, the foam offered low energy return, and we noticed that the toebox was overly tapered and needs more volume.","{'pros': ['Exceptional all-around comfort', 'Ultra-plush cushioning', 'Ideal for slow long runs', 'Great cushion-to-price ratio', 'Remarkable stability for its size', 'Superb lockdown', 'Durable and high-grip outsole', 'Well-designed rocker geometry', 'Lots of improvements from v4', 'Dependable grip'], 'cons': ['Heavier than its predecessor', 'Snug fit', 'Maybe even too plush!', 'A bit stiff for casual wear']}"
brooks_ghost_max,Brooks Ghost Max,Brooks,274200,medium,neutral,['neutral'],['daily_run'],False,"The Brooks Ghost Max is like the regular Ghost but on steroids, offering a skyscraper-high midsole combined with a stable ride, especially for heel strikers. In our tests, we were impressed with its performance on long runs and easy days. And despite its substantial size, it's still surprisingly lightweight. The upper is really comfortable and it's well-ventilated, though it does fall short in durability and lacks a gusseted tongue. However, these are minor quibbles in what we found to be an excellent, fairly-priced maximalist option from Brooks, capable of devouring miles with ease.","{'pros': ['Exceptionally cushioned', 'Impressively lightweight for its size', 'Extremely comfortable', 'Remarkably stable', 'Durable outsole with long-lasting performance', 'A genuine maximalist version of the Ghost', 'Reasonably priced at $150', 'Offered in three width options'], 'cons': ['Tongue is not fixed to the sides', 'Lacks energy return', 'Not very flexible']}"
hoka_clifton_9,Hoka Clifton 9,Hoka,257060,medium,neutral,['neutral'],['daily_run'],False,"The Clifton 9 is a reliable daily workhorse that combines a thicker and more energetic midsole cushioning with a lighter design compared to its predecessor, the v8. It features a durable upper, is available in wide sizes, and includes mild stability elements, making it ideal for easy days and long runs. However, it has a snug fit, lacks sufficient bounce from the EVA foam, has average breathability, and its grip could be improved.","The Clifton 9 successfully builds on its heritage with enhanced comfort and performance, making it a better shoe overall despite some minor drawbacks."
new_balance_fresh_foam_x_1080_v14,New Balance Fresh Foam X 1080 v14,New Balance,325610,medium,neutral,['neutral'],['daily_run'],False,"The New Balance Fresh Foam X 1080 v14 aims to enhance stability but has gained noticeable weight compared to its predecessor. The tapered toebox may feel restrictive for some, making it less comfortable for walking. Despite these drawbacks, the shoe offers exceptional durability, a highly breathable upper, and increased stack height, making it suitable for easy runs and recovery jogs.","{'pros': ['Amazing step-in feel', 'Excellent durability', 'Cloud-soft midsole', 'Ideal for forefoot and midfoot strikers', 'Perfect for recovery runs', 'Airy upper', 'Fairly priced for a premium daily trainer', 'Stability improvements'], 'cons': ['Noticeable weight increase', 'Tapered toebox limits toe splay', 'Midsole could be too soft for some', 'Lacks energy return']}"
nike_vaporfly_4,Nike Vaporfly 4,Nike,445570,medium,neutral,['neutral'],['daily_run'],False,"The Vaporfly 4 is a smart update with a feather-light construction and improved fit, making it more refined than its predecessor. It features a full ZoomX midsole and a spring-loaded carbon-fiber Flyplate, enhancing performance for shorter races like 5K, 10K, and 21K. However, it may not provide the significant performance boost some runners expect, especially for marathon distances.","While the Vaporfly 4 offers notable improvements in weight and fit, it may not meet the expectations of those seeking a revolutionary change in performance, particularly for longer races."
brooks_adrenaline_gts_24,Brooks Adrenaline GTS 24,Brooks,182000,medium,neutral,['neutral'],['daily_run'],False,"The Brooks Adrenaline GTS 24 remains one of the easiest recommendations for heel strikers needing stability, and after testing it, we’re convinced it’s more refined than ever. It keeps its reputation as an ultra-reliable trainer while introducing key upgrades like the DNA Loft v3 midsole, which offers a firmer yet more responsive feel. We found that the revamped upper strikes a great balance between comfort and breathability, making it a fantastic choice for daily miles. However, the firmer foam and steep drop won’t suit everyone, but for most runners with stability needs, it’s a no-brainer.","{'pros': ['Stack height upgrade!', 'Reliable support', 'Breathable mesh with oversized vents', 'Price remains unchanged', 'Available in 4 width options', 'Good durability', 'Plush tongue for top comfort', 'Ideal for heel strikers', 'Foam upgrade to DNA Loft v3'], 'cons': ['Firmer-than-expected midsole', 'High drop may feel too steep', 'Toebox height is a bit low', 'Non-gusseted tongue']}"
brooks_glycerin_22,Brooks Glycerin 22,Brooks,308470,medium,neutral,['neutral'],['daily_run'],False,"The Glycerin 22 remains an easy recommendation for those seeking a durable, comfort-loaded daily trainer. Brooks has refined the formula with an upgraded DNA Tuned foam, a higher stack height, and an ultra-breathable upper—all while preserving stability. However, it’s heavier, pricier, and stiffer than before, which may not appeal to everyone.","{'pros': ['DNA Tuned improves shock absorption', 'Stable ride', 'Highly-breathable upper', 'Increased stack height', 'All-around comfort', 'First-class durability', 'Perfect for everyday miles', 'Awesome for heel strikers', 'Great as an everyday shoe'], 'cons': ['Needs to lose some weight', 'Low toebox height', 'Price increase', 'Not the most energetic ride']}"
nike_zoom_fly_6,Nike Zoom Fly 6,Nike,291330,medium,neutral,['neutral'],['daily_run'],False,"The Zoom Fly 6 addresses the shortcomings of its predecessor with energetic ZoomX foam, a carbon plate, and a lighter build. It offers fantastic durability and versatility, making it a true super trainer at a fair price. However, the snug toebox and narrow dimensions may not suit everyone.","{'verdict': 'Impressive performance with a focus on durability and versatility.', 'pros': ['The Zoom Fly is back!', 'Fairly priced', 'Versatile, performance-ready supertrainer', 'Reasonable weight', 'Can handle all paces', 'Comfortable upper', 'Outstanding durability', 'Amazing for tempo and marathon workouts'], 'cons': ['Toebox is narrow and restrictive', 'SR-02 foam lacks bounce', 'Could be more stable']}"
asics_superblast_2,ASICS Superblast 2,ASICS,376860,medium,neutral,['neutral'],['daily_run'],False,"The ASICS Superblast 2 is an exceptional training shoe that also serves as a great racer for most runners. It features a world-class midsole, an improved upper, and a more effective outsole, maintaining the beloved features of its predecessor while excelling in speed, cushioning, and versatility. However, it may not be the best fit for wider feet and has a slight increase in weight compared to its predecessor.","{'verdict': ""If budget isn't a barrier, the ASICS Superblast 2 is the ultimate training shoe."", 'pros': ['Fantastic new upper', 'Improved overall comfort', 'Grippier outsole without cutouts', 'Durability enhancements', 'Excellent weight/cushioning ratio', 'Supreme stability', 'Works at every pace and distance'], 'cons': ['Slight weight gain', 'Fit remains tight', 'Minimal tongue padding', 'Energy return is not on par with the price']}"
