id,name,url,verdict,pros,cons,Audience score,Price,Pace,Shock absorption,Energy return,Traction,Arch support,Weight Lab,Weight Brand,Lightweight,Drop Lab,Drop Brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel Lab,Heel Brand,Forefoot Lab,Forefoot Brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity
1,Nike Vomero Plus,https://runrepeat.com/nike-vomero-plus,"We tested the Nike Vomero Plus and found it truly lives up to its name as the “Plus” version of the regular Vomero. We loved the cozy upper and the durable construction, which makes the price tag more palatable. It also arrives with a full-length ZoomX midsole and a maximalist build, exactly what we had been expecting by now. While the weight is higher than we’d like and there’s not much room in the toebox, we believe it’s still an excellent option for recovery days or relaxed runs when legs are tired and feet need protective bounce.","Full ZoomX midsole provides energetic bounce
. Outstanding shock absorption in both heel and forefoot
. True high-stack design
. Premium comfort from walking to long runs
. Strong durability
. Great pick for easy days
. Midsole resists cold very well
. Comfortable heel counter
. Solid Bondi alternative inside Nike","Heavier than it should
. Snug fit and narrow toebox
. Non-gusseted tongue
. Traction still needs improvement",92 Superb!,$180,Daily running,147 SA,67.10%,0.42,Neutral,289g,285g,N,9.6 mm,10.0 mm,HeelMid/forefoot,True to size,32.5 AC,6%,3/5,4/5,0.8 mm,3/5,94.6 mm,71.1 mm,19.8N,4/5,3/5,N,N,42.3 mm,45.0 mm,32.7 mm,35.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#16Top 5%,#4Top 2%
2,Hoka Bondi 9,https://runrepeat.com/hoka-bondi-9,"The Bondi 9 arrived after a long wait, and we found Hoka prioritized consistency to maintain the v8’s winning formula. In our lab tests, we discovered it to be a better version in every way—lighter, more durable, and packed with improved cushioning. The new supercritical foam is definitely bouncier, while the upper materials provide a premium fit. However, its narrow toebox, oversized frame, and hefty build still limit its appeal for many runners.","Endless cushioning
. New supercritical EVA midsole
. Amazing step-in comfort
. Doubles as a walking shoe
. Stable for its height
. Built to last
. Excels at slow-and-steady paces
. Well-designed heel collar
. Lighter than v8","Not for wide feet
. Still feels heavy and clunky underfoot
. Drop measurement differs from stated
